match_number,round,kickoff_beijing,stadium,host_city,left_rule,right_rule,left_source,right_source,left_group,right_group,left_team,right_team,left_detail,right_detail
73,32强,2026-06-29T03:00+08:00,SoFi Stadium,los-angeles,A2,B2,A2,B2,A,B,South Africa,Canada,"South Africa (4分, 净胜-1)","Canada (4分, 净胜+5)"
74,32强,2026-06-30T04:30+08:00,Gillette Stadium,boston,C1,F2,C1,F2,C,F,Brazil,Japan,"Brazil (7分, 净胜+6)","Japan (5分, 净胜+4)"
75,32强,2026-06-30T09:00+08:00,Estadio BBVA,monterrey,E1,A3/B3/C3/D3/F3,E1,F3,E,F,Germany,Sweden,"Germany (6分, 净胜+6)","Sweden (4分, 净胜0)"
76,32强,2026-06-30T01:00+08:00,NRG Stadium,houston,F1,C2,F1,C2,F,C,Netherlands,Morocco,"Netherlands (7分, 净胜+6)","Morocco (7分, 净胜+3)"
77,32强,2026-07-01T05:00+08:00,MetLife Stadium,new-york,I1,C3/D3/F3/G3/H3,I1,D3,I,D,France,Paraguay,"France (9分, 净胜+8)","Paraguay (4分, 净胜-2)"
78,32强,2026-07-01T01:00+08:00,AT&T Stadium,dallas,E2,I2,E2,I2,E,I,Ivory Coast,Norway,"Ivory Coast (6分, 净胜+2)","Norway (6分, 净胜+1)"
79,32强,2026-07-01T09:00+08:00,Estadio Azteca,mexico-city,A1,C3/E3/F3/H3/I3,A1,E3,A,E,Mexico,Ecuador,"Mexico (9分, 净胜+6)","Ecuador (4分, 净胜0)"
80,32强,2026-07-02T00:00+08:00,Mercedes-Benz Stadium,atlanta,L1,E3/H3/I3/J3/K3,L1,I3,L,I,England,Senegal,"England (4分, 净胜+2)","Senegal (3分, 净胜+2)"
81,32强,2026-07-02T08:00+08:00,Levi's Stadium,san-francisco,D1,B3/E3/F3/I3/J3,D1,B3,D,B,United States,Bosnia-Herzegovina,"United States (6分, 净胜+4)","Bosnia-Herzegovina (4分, 净胜-1)"
82,32强,2026-07-02T04:00+08:00,Lumen Field,seattle,G1,A3/E3/H3/I3/J3,G1,A3,G,A,Belgium,South Korea,"Belgium (5分, 净胜+4)","South Korea (3分, 净胜-1)"
83,32强,2026-07-03T07:00+08:00,BMO Field,toronto,K2,L2,K2,L2,K,L,Portugal,Ghana,"Portugal (4分, 净胜+5)","Ghana (4分, 净胜+1)"
84,32强,2026-07-03T03:00+08:00,SoFi Stadium,los-angeles,H1,J2,H1,J2,H,J,Spain,Austria,"Spain (7分, 净胜+5)","Austria (3分, 净胜0)"
85,32强,2026-07-03T11:00+08:00,BC Place,vancouver,B1,E3/F3/G3/I3/J3,B1,G3,B,G,Switzerland,Iran,"Switzerland (7分, 净胜+4)","Iran (3分, 净胜0)"
86,32强,2026-07-04T06:00+08:00,Hard Rock Stadium,miami,J1,H2,J1,H2,J,H,Argentina,Cape Verde,"Argentina (6分, 净胜+5)","Cape Verde (3分, 净胜0)"
87,32强,2026-07-04T09:30+08:00,Arrowhead Stadium,kansas-city,K1,D3/E3/I3/J3/L3,K1,L3,K,L,Colombia,Croatia,"Colombia (6分, 净胜+3)","Croatia (3分, 净胜-1)"
88,32强,2026-07-04T02:00+08:00,AT&T Stadium,dallas,D2,G2,D2,G2,D,G,Australia,Egypt,"Australia (4分, 净胜0)","Egypt (5分, 净胜+2)"
