match_number,home_team,away_team,lean_score,lean_label,confidence,home_rating,away_rating,home_win_probability,draw_probability,away_win_probability,model_summary,environment_note,pre_match_status,pre_match_updated_at,evidence_summary,pre_match_sources,factor_breakdown
1,Mexico,South Africa,23,倾向 Mexico,低,76,65,49,30,21,静态硬实力 76:65；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 49% / 30% / 21%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 15.9}, {""factor"": ""主场/海拔"", ""value"": 7}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
2,Korea Republic,Czechia,4,接近均势,低,74,71,37,30,33,静态硬实力 74:71；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 37% / 30% / 33%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 4.3}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
3,Canada,Bosnia and Herzegovina,12,倾向 Canada,低,71,66,42,30,28,静态硬实力 71:66；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 42% / 30% / 28%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 7.2}, {""factor"": ""主场/海拔"", ""value"": 5}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
4,United States,Paraguay,15,倾向 United States,低,77,70,44,30,26,静态硬实力 77:70；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 44% / 30% / 26%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 10.2}, {""factor"": ""主场/海拔"", ""value"": 5}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
5,Haiti,Scotland,-17,倾向 Scotland,低,58,70,25,30,45,静态硬实力 58:70；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 25% / 30% / 45%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -17.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
6,Australia,Turkiye,-1,接近均势,低,72,73,34,30,36,静态硬实力 72:73；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 34% / 30% / 36%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -1.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
7,Brazil,Morocco,12,倾向 Brazil,低,89,81,42,30,28,静态硬实力 89:81；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 42% / 30% / 28%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 11.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
8,Qatar,Switzerland,-20,倾向 Switzerland,低,64,78,23,30,47,静态硬实力 64:78；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 23% / 30% / 47%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -20.3}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
9,Cote d'Ivoire,Ecuador,-1,接近均势,低,72,73,34,30,36,静态硬实力 72:73；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 34% / 30% / 36%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -1.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
10,Germany,Curacao,41,倾向 Germany,中,87,59,57,30,13,静态硬实力 87:59；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 57% / 30% / 13%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 40.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
11,Netherlands,Japan,13,倾向 Netherlands,低,86,77,43,30,27,静态硬实力 86:77；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 43% / 30% / 27%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 13.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
12,Sweden,Tunisia,13,倾向 Sweden,低,75,66,43,30,27,静态硬实力 75:66；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 43% / 30% / 27%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 13.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
13,Saudi Arabia,Uruguay,-22,倾向 Uruguay,低,68,83,22,30,48,静态硬实力 68:83；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 22% / 30% / 48%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -21.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
14,Spain,Cabo Verde,44,倾向 Spain,中,91,61,58,30,12,静态硬实力 91:61；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 58% / 30% / 12%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 43.5}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
15,IR Iran,New Zealand,13,倾向 IR Iran,低,69,60,43,30,27,静态硬实力 69:60；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 43% / 30% / 27%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 13.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 4.0}]"
