match_number,date_local,fixture_kickoff_utc,kickoff_utc,kickoff_beijing,stage,stage_cn,group,home_team,away_team,stadium,host_city,status,status_state,completed,home_score,away_score,attendance,espn_event_id,espn_summary_url,espn_stats_url,fixture_url,time_discrepancy_note,source
1,2026-06-11,2026-06-11T19:00:00Z,2026-06-11T19:00:00Z,2026-06-12T03:00+08:00,group-stage,小组赛,A,Mexico,South Africa,Estadio Azteca,mexico-city,Full Time,post,True,2,0,80824,760415,https://www.espn.com/soccer/match/_/gameId/760415/south-africa-mexico,https://www.espn.com/soccer/matchstats/_/gameId/760415,https://www.thestatsapi.com/world-cup/matches/mexico-vs-south-africa-2026-06-11,,TheStatsAPI fixtures + ESPN scoreboard
2,2026-06-11,2026-06-12T02:00:00Z,2026-06-12T02:00:00Z,2026-06-12T10:00+08:00,group-stage,小组赛,A,Korea Republic,Czechia,Estadio Akron,guadalajara,Full Time,post,True,2,1,44985,760414,https://www.espn.com/soccer/match/_/gameId/760414/czechia-south-korea,https://www.espn.com/soccer/matchstats/_/gameId/760414,https://www.thestatsapi.com/world-cup/matches/korea-republic-vs-czechia-2026-06-11,,TheStatsAPI fixtures + ESPN scoreboard
3,2026-06-12,2026-06-12T19:00:00Z,2026-06-12T19:00:00Z,2026-06-13T03:00+08:00,group-stage,小组赛,B,Canada,Bosnia and Herzegovina,BMO Field,toronto,Full Time,post,True,1,1,43002,760416,https://www.espn.com/soccer/match/_/gameId/760416/bosnia-herzegovina-canada,https://www.espn.com/soccer/matchstats/_/gameId/760416,https://www.thestatsapi.com/world-cup/matches/canada-vs-bosnia-and-herzegovina-2026-06-12,,TheStatsAPI fixtures + ESPN scoreboard
4,2026-06-12,2026-06-13T01:00:00Z,2026-06-13T01:00:00Z,2026-06-13T09:00+08:00,group-stage,小组赛,D,United States,Paraguay,SoFi Stadium,los-angeles,Full Time,post,True,4,1,70492,760417,https://www.espn.com/soccer/match/_/gameId/760417/paraguay-united-states,https://www.espn.com/soccer/matchstats/_/gameId/760417,https://www.thestatsapi.com/world-cup/matches/united-states-vs-paraguay-2026-06-12,,TheStatsAPI fixtures + ESPN scoreboard
5,2026-06-13,2026-06-14T01:00:00Z,2026-06-14T01:00:00Z,2026-06-14T09:00+08:00,group-stage,小组赛,C,Haiti,Scotland,Gillette Stadium,boston,Full Time,post,True,0,1,64146,760418,https://www.espn.com/soccer/match/_/gameId/760418/scotland-haiti,https://www.espn.com/soccer/matchstats/_/gameId/760418,https://www.thestatsapi.com/world-cup/matches/haiti-vs-scotland-2026-06-13,,TheStatsAPI fixtures + ESPN scoreboard
6,2026-06-13,2026-06-14T04:00:00Z,2026-06-14T04:00:00Z,2026-06-14T12:00+08:00,group-stage,小组赛,D,Australia,Turkiye,BC Place,vancouver,Full Time,post,True,2,0,52497,760421,https://www.espn.com/soccer/match/_/gameId/760421/turkiye-australia,https://www.espn.com/soccer/matchstats/_/gameId/760421,https://www.thestatsapi.com/world-cup/matches/australia-vs-turkiye-2026-06-13,,TheStatsAPI fixtures + ESPN scoreboard
7,2026-06-13,2026-06-13T22:00:00Z,2026-06-13T22:00:00Z,2026-06-14T06:00+08:00,group-stage,小组赛,C,Brazil,Morocco,MetLife Stadium,new-york,Full Time,post,True,1,1,80663,760419,https://www.espn.com/soccer/match/_/gameId/760419/morocco-brazil,https://www.espn.com/soccer/matchstats/_/gameId/760419,https://www.thestatsapi.com/world-cup/matches/brazil-vs-morocco-2026-06-13,,TheStatsAPI fixtures + ESPN scoreboard
8,2026-06-13,2026-06-13T19:00:00Z,2026-06-13T19:00:00Z,2026-06-14T03:00+08:00,group-stage,小组赛,B,Qatar,Switzerland,Levi's Stadium,san-francisco,Full Time,post,True,1,1,67966,760420,https://www.espn.com/soccer/match/_/gameId/760420/switzerland-qatar,https://www.espn.com/soccer/matchstats/_/gameId/760420,https://www.thestatsapi.com/world-cup/matches/qatar-vs-switzerland-2026-06-13,,TheStatsAPI fixtures + ESPN scoreboard
9,2026-06-14,2026-06-14T23:00:00Z,2026-06-14T23:00:00Z,2026-06-15T07:00+08:00,group-stage,小组赛,E,Cote d'Ivoire,Ecuador,Lincoln Financial Field,philadelphia,Full Time,post,True,1,0,68274,760423,https://www.espn.com/soccer/match/_/gameId/760423/ecuador-ivory-coast,https://www.espn.com/soccer/matchstats/_/gameId/760423,https://www.thestatsapi.com/world-cup/matches/cote-divoire-vs-ecuador-2026-06-14,,TheStatsAPI fixtures + ESPN scoreboard
10,2026-06-14,2026-06-14T17:00:00Z,2026-06-14T17:00:00Z,2026-06-15T01:00+08:00,group-stage,小组赛,E,Germany,Curacao,NRG Stadium,houston,Full Time,post,True,7,1,68021,760422,https://www.espn.com/soccer/match/_/gameId/760422/curacao-germany,https://www.espn.com/soccer/matchstats/_/gameId/760422,https://www.thestatsapi.com/world-cup/matches/germany-vs-curacao-2026-06-14,,TheStatsAPI fixtures + ESPN scoreboard
