group,rank,team,espn_team_id,abbreviation,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,qualification_note,source
A,1,Mexico,203,MEX,3,3,0,0,6,0,+6,9,Advance to Round of 32,ESPN standings API
A,2,South Africa,467,RSA,3,1,1,1,2,3,-1,4,Advance to Round of 32,ESPN standings API
A,3,South Korea,451,KOR,3,1,0,2,2,3,-1,3,Best 8 advance,ESPN standings API
A,4,Czechia,450,CZE,3,0,1,2,2,6,-4,1,Eliminated,ESPN standings API
B,1,Switzerland,475,SUI,3,2,1,0,7,3,+4,7,Advance to Round of 32,ESPN standings API
B,2,Canada,206,CAN,3,1,1,1,8,3,+5,4,Advance to Round of 32,ESPN standings API
B,3,Bosnia-Herzegovina,452,BIH,3,1,1,1,5,6,-1,4,Best 8 advance,ESPN standings API
B,4,Qatar,4398,QAT,3,0,1,2,2,10,-8,1,Eliminated,ESPN standings API
C,1,Brazil,205,BRA,3,2,1,0,7,1,+6,7,Advance to Round of 32,ESPN standings API
C,2,Morocco,2869,MAR,3,2,1,0,6,3,+3,7,Advance to Round of 32,ESPN standings API
C,3,Scotland,580,SCO,3,1,0,2,1,4,-3,3,Best 8 advance,ESPN standings API
C,4,Haiti,2654,HAI,3,0,0,3,2,8,-6,0,Eliminated,ESPN standings API
D,1,United States,660,USA,3,2,0,1,8,4,+4,6,Advance to Round of 32,ESPN standings API
D,2,Australia,628,AUS,3,1,1,1,2,2,0,4,Advance to Round of 32,ESPN standings API
D,3,Paraguay,210,PAR,3,1,1,1,2,4,-2,4,Best 8 advance,ESPN standings API
D,4,Türkiye,465,TUR,3,1,0,2,3,5,-2,3,Eliminated,ESPN standings API
E,1,Germany,481,GER,3,2,0,1,10,4,+6,6,Advance to Round of 32,ESPN standings API
E,2,Ivory Coast,4789,CIV,3,2,0,1,4,2,+2,6,Advance to Round of 32,ESPN standings API
E,3,Ecuador,209,ECU,3,1,1,1,2,2,0,4,Best 8 advance,ESPN standings API
E,4,Curaçao,11678,CUW,3,0,1,2,1,9,-8,1,Eliminated,ESPN standings API
F,1,Netherlands,449,NED,3,2,1,0,10,4,+6,7,Advance to Round of 32,ESPN standings API
F,2,Japan,627,JPN,3,1,2,0,7,3,+4,5,Advance to Round of 32,ESPN standings API
F,3,Sweden,466,SWE,3,1,1,1,7,7,0,4,Best 8 advance,ESPN standings API
F,4,Tunisia,659,TUN,3,0,0,3,2,12,-10,0,Eliminated,ESPN standings API
G,1,Egypt,2620,EGY,2,1,1,0,4,2,+2,4,Advance to Round of 32,ESPN standings API
G,2,Iran,469,IRN,2,0,2,0,2,2,0,2,Advance to Round of 32,ESPN standings API
G,3,Belgium,459,BEL,2,0,2,0,1,1,0,2,Best 8 advance,ESPN standings API
G,4,New Zealand,2666,NZL,2,0,1,1,3,5,-2,1,Eliminated,ESPN standings API
H,1,Spain,164,ESP,2,1,1,0,4,0,+4,4,Advance to Round of 32,ESPN standings API
H,2,Uruguay,212,URU,2,0,2,0,3,3,0,2,Advance to Round of 32,ESPN standings API
H,3,Cape Verde,2597,CPV,2,0,2,0,2,2,0,2,Best 8 advance,ESPN standings API
H,4,Saudi Arabia,655,KSA,2,0,1,1,1,5,-4,1,Eliminated,ESPN standings API
I,1,France,478,FRA,2,2,0,0,6,1,+5,6,Advance to Round of 32,ESPN standings API
I,2,Norway,464,NOR,2,2,0,0,7,3,+4,6,Advance to Round of 32,ESPN standings API
I,3,Senegal,654,SEN,2,0,0,2,3,6,-3,0,Best 8 advance,ESPN standings API
I,4,Iraq,4375,IRQ,2,0,0,2,1,7,-6,0,Eliminated,ESPN standings API
J,1,Argentina,202,ARG,2,2,0,0,5,0,+5,6,Advance to Round of 32,ESPN standings API
J,2,Austria,474,AUT,2,1,0,1,3,3,0,3,Advance to Round of 32,ESPN standings API
J,3,Algeria,624,ALG,2,1,0,1,2,4,-2,3,Best 8 advance,ESPN standings API
J,4,Jordan,2917,JOR,2,0,0,2,2,5,-3,0,Eliminated,ESPN standings API
K,1,Colombia,208,COL,2,2,0,0,4,1,+3,6,Advance to Round of 32,ESPN standings API
K,2,Portugal,482,POR,2,1,1,0,6,1,+5,4,Advance to Round of 32,ESPN standings API
K,3,Congo DR,2850,COD,2,0,1,1,1,2,-1,1,Best 8 advance,ESPN standings API
K,4,Uzbekistan,2570,UZB,2,0,0,2,1,8,-7,0,Eliminated,ESPN standings API
L,1,England,448,ENG,2,1,1,0,4,2,+2,4,Advance to Round of 32,ESPN standings API
L,2,Ghana,4469,GHA,2,1,1,0,1,0,+1,4,Advance to Round of 32,ESPN standings API
L,3,Croatia,477,CRO,2,1,0,1,3,4,-1,3,Best 8 advance,ESPN standings API
L,4,Panama,2659,PAN,2,0,0,2,0,2,-2,0,Eliminated,ESPN standings API
