zhibo8_match_id,kickoff_beijing,display_time,rounds,home_team_zh,away_team_zh,home_team_id,away_team_id,score,state_cn,is_finish,match_page,source
1867414,2026-06-12T03:00+08:00,06-12 03:00,小组赛A组第1轮,墨西哥,南非,253,3361,2-0,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1867414v.htm,Zhibo8 / Qiumibao stats API
1869142,2026-06-12T10:00+08:00,06-12 10:00,小组赛A组第1轮,韩国,捷克,227,257,2-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869142v.htm,Zhibo8 / Qiumibao stats API
1867415,2026-06-13T03:00+08:00,06-13 03:00,小组赛B组第1轮,加拿大,波黑,3473,3261,1-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1867415v.htm,Zhibo8 / Qiumibao stats API
1867416,2026-06-13T09:00+08:00,06-13 09:00,小组赛D组第1轮,美国,巴拉圭,244,3032,4-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1867416v.htm,Zhibo8 / Qiumibao stats API
1869145,2026-06-14T03:00+08:00,06-14 03:00,小组赛B组第1轮,卡塔尔,瑞士,3342,3258,1-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869145v.htm,Zhibo8 / Qiumibao stats API
1869148,2026-06-14T06:00+08:00,06-14 06:00,小组赛C组第1轮,巴西,摩洛哥,250,3359,1-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869148v.htm,Zhibo8 / Qiumibao stats API
1869149,2026-06-14T09:00+08:00,06-14 09:00,小组赛C组第1轮,海地,苏格兰,3519,238,0-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869149v.htm,Zhibo8 / Qiumibao stats API
1869154,2026-06-14T12:00+08:00,06-14 12:00,小组赛D组第1轮,澳大利亚,土耳其,3411,254,2-0,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869154v.htm,Zhibo8 / Qiumibao stats API
1869158,2026-06-15T01:00+08:00,06-15 01:00,小组赛E组第1轮,德国,库拉索,7,3621,7-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869158v.htm,Zhibo8 / Qiumibao stats API
1869165,2026-06-15T04:00+08:00,06-15 04:00,小组赛F组第1轮,荷兰,日本,255,230,2-2,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869165v.htm,Zhibo8 / Qiumibao stats API
1869159,2026-06-15T07:00+08:00,06-15 07:00,小组赛E组第1轮,科特迪瓦,厄瓜多尔,3356,3033,1-0,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869159v.htm,Zhibo8 / Qiumibao stats API
1869166,2026-06-15T10:00+08:00,06-15 10:00,小组赛F组第1轮,瑞典,突尼斯,3264,3358,5-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869166v.htm,Zhibo8 / Qiumibao stats API
1869177,2026-06-16T00:00+08:00,06-16 00:00,小组赛H组第1轮,西班牙,佛得角,251,3345,0-0,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869177v.htm,Zhibo8 / Qiumibao stats API
1869171,2026-06-16T03:00+08:00,06-16 03:00,小组赛G组第1轮,比利时,埃及,226,3357,1-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869171v.htm,Zhibo8 / Qiumibao stats API
1869178,2026-06-16T06:00+08:00,06-16 06:00,小组赛H组第1轮,沙特,乌拉圭,233,229,1-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869178v.htm,Zhibo8 / Qiumibao stats API
1869172,2026-06-16T09:00+08:00,06-16 09:00,小组赛G组第1轮,伊朗,新西兰,3413,3552,2-2,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869172v.htm,Zhibo8 / Qiumibao stats API
1869183,2026-06-17T03:00+08:00,06-17 03:00,小组赛I组第1轮,法国,塞内加尔,249,3360,3-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869183v.htm,Zhibo8 / Qiumibao stats API
1869184,2026-06-17T06:00+08:00,06-17 06:00,小组赛I组第1轮,伊拉克,挪威,3414,3267,1-4,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869184v.htm,Zhibo8 / Qiumibao stats API
1869192,2026-06-17T09:00+08:00,06-17 09:00,小组赛J组第1轮,阿根廷,阿尔及利亚,8,3352,3-0,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869192v.htm,Zhibo8 / Qiumibao stats API
1869193,2026-06-17T12:00+08:00,06-17 12:00,小组赛J组第1轮,奥地利,约旦,236,3466,3-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869193v.htm,Zhibo8 / Qiumibao stats API
1869198,2026-06-18T01:00+08:00,06-18 01:00,小组赛K组第1轮,葡萄牙,民主刚果,256,4879,1-1,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869198v.htm,Zhibo8 / Qiumibao stats API
1869204,2026-06-18T04:00+08:00,06-18 04:00,小组赛L组第1轮,英格兰,克罗地亚,252,2984,4-2,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869204v.htm,Zhibo8 / Qiumibao stats API
1869205,2026-06-18T07:00+08:00,06-18 07:00,小组赛L组第1轮,加纳,巴拿马,3355,242,1-0,完赛,1,https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869205v.htm,Zhibo8 / Qiumibao stats API
